text,category
อาจเป็นเพราะเราเข้าใจกัน,positive
พอมาถึงช่วงนึง เขาก็มีคนอื่นเข้ามาเพราะไปเที่ยวผับนี่ละค่ะ,negative
แฟนเราบอกว่า ทำไมไม่ให้ตังใช้บ้างเลย,negative
เปรียบเราเป็นผู้หญิงที่สวยที่สุดสำหรับเขา,positive
ผมไปรุกหาคู่ชีวิตสร้างอนคตไปด้วยกัน,positive
เราไม่มีตัวตนในโซเชี่ยลของเค้าเลยค่ะ,negative
เราคุยกับผู้ชายคนหนึ่งอยู่แล้วทีนี้,positive
ใส่ใจเรื่องของผมไปหมดเลย จนผมเริ่มรู้สึกดีด้วย,positive
คุยกันเเล้วแต่เค้าไม่ยอมเรา,negative
เชื่อว่าทุกปัญหามีทางออก,positive
เค้าชอบพูดบ่อยๆว่าอยากมีแฟนใหม่ ขอมีเมียน้อยได้มั้ย,negative
เราอยากไปมีชีวิตของเรา ซึ่งไม่เกี่ยวข้องกับเค้าเลยไม่ว่าสถานะใดๆ,negative
ไม่ค่อยซีเรียสอะไรสักเท่าไหร่,positive
ใจเต้นแรง ไม่กล้ามองหน้าเลย,positive
แฟนไม่อยากให้เราไป,negative
ไม่ว่าจะเป็นรุ่นน้องหรือเพื่อนผู้หญิง หรือใครต่างๆเราแถบไม่มีการหึงหวงเลย,positive
พอจะอธิบายเขาก็ดูเหมือนจะไม่เชื่อเรา เหมือนคนคอยจะจับผิดเรา,negative
ผลัดกันเป็นผู้ฟังที่ดี ของเรื่องที่เจอมาในแต่ละวัน,positive
ยังเก็บไว้อย่างดี เห็นทีไรก็ยิ้มอย่างคิดถึงทุกครั้ง,positive
เราไม่ได้นอนร้องไห้อย่างเดียว,negative
คอยดูแลเป็นห่วงผม,positive
พอคุยกันวันละนิดหน่อย ก็เริ่มห่างกัน เมื่อวานเขาก็มาสารภาพว่า ช่วงที่เริ่มห่างกันเขาก็ไปคุยกับคนอื่น,negative
เรายังอยากเก็บความสัมพันธ์พี่น้อง,positive
ความรักดีเสมอแม้ว่าเธอไม่รักฉัน ยังยิ้มได้ทุกวันฝันละเมอเพ้อบ้าบอ,positive
เขาทำดีกับเรามาก พาไปเที่ยวทำนู่นทำนี่ด้วยกัน,positive
คำพูดเค้าคือรุนแรงสำหรับความรู้สึกเราไปหน่อยค่ะ,negative
เราต้องมีความสุขมากๆแน่ๆ,positive
คือเราไม่รํว่าจะหึงไปทำไม,positive
เหนื่อยก็เลิก เจ็บตอนนี้ดีกว่าฝืนและเจ็บไปมากกว่านี้,negative
จนมาเลิกกับแฟนซักพักนี่ล่ะ,negative
ผมว่าแฟนผมเปลี่ยนไปมากๆ อยากเช่น ไม่ค่อยมาหาผม,negative
วันต่อมาเลยทักบอกเขาว่า คิดถึงเขาทำไม,positive
เริ่มหาเรื่อง  แทนที่จะตอบตามที่ควรจะเป็น,negative
เราตกลงกันว่าจะอยุ่เป็นกำลังใจให้กันแบบนี้,positive
คิดว่ายังไง เค้าก็รักเราแบบเดิม,positive
หากสามีของเรา ไปรักผู้หญิงคนอื่น ควรทำอย่างไรดี,negative
เราให้โอกาสเขาแก้ตัวหลายครั้ง เพราะคิดว่าคนรักกันต้องให้โอกาสเขาแก้ไข แต่ก็ไม่ดีขึ้นเลย,negative
ไม่รู้เป็นเวรกรรมอะไร,negative
รู้สึกน้อยใจมากครับ ไม่สบายแบบหนักมากเหนื่อย,negative
ผมควรทำอย่างไรดีครับเมื่อเค้าเปลี่ยนไปเหมือนมีคนอื่น,negative
ควรกลับไปใช่ชีวิตคนเดียวให้ทีความสุข,positive
ตอนม.6 เค้าก็หายไป,negative
เขาไม่ชอบผม,negative
เมื่อก่อนตอนเป็นเด็กเรารักกันมาก,positive
เค้าก็จะเลือกเพื่อนเค้าเสมอ,positive
ครั้งนี้คือเราเลือกที่จะเลิกกับพ่อของลูก,negative
คำนี้ฟังแล้วเจ็บอยู่นะ,negative
คนรักกันต้องพากันเจริญ พากันมีความสุข,positive
ตอนนั้นจุกจนพูดไม่ออก,negative
ผมเลิกกับแฟนเก่ามา 2-3ปีแล้วไม่ได้ครบใครต่อเลย,negative
ชอบผู้หญิงด้วยกัน อยากเปิดใจมากๆๆ,positive
ต้องบอกก่อนว่าเราเป็นคนที่ไม่กล้าพูดไม่กล้าบอก ถ้าเราไม่พอใจอะไร,negative
